,FP_1,FP_2,FP_3,FP_4,FS_1,FS_2,FS_3,N_1,N_2,N_3
Q9UMS6,36490.94054,21915.96624,11675.16822,12446.72323,40612.82041,16339.59875,56220.6097,21043.09675,58207.59415,16786.24267
Q9UMY4,2837.189889,1630.900935,1462.094642,4714.80603,3245.759508,692.1077283,3220.998751,1284.760451,3098.525317,973.344835
Q9UNF0,8515.509195,4549.913543,1588.03521,7982.24437,8917.24584,2768.740125,3917.992181,3655.355368,9434.734665,2222.087228
Q9UNH7,3820.189565,1855.134243,1828.839477,6129.86881,2829.731144,1111.771016,3134.298991,867.9049568,1782.816191,1060.383475
Q9Y266,2564.234005,616.7652583,737.7154088,1832.286688,2505.176907,641.0547647,2132.797386,1028.143262,1392.757411,730.8356788
Q9Y2A7,2596.285398,1474.42866,1446.661287,2035.233317,2498.459184,806.096197,3130.950093,1156.43252,761.8160165,790.5310943
Q9Y2S2,4397.198472,2417.466738,1225.312147,7220.913335,2947.48808,1414.125497,3154.294837,1688.239227,4798.368131,823.8777568
Q9Y3A5,9834.38117,6438.53484,4070.227018,16341.61866,12675.91369,2739.610475,8752.69986,3865.635513,8692.66282,2464.752288
Q9Y3I0,6948.208295,4071.417847,3583.671023,2602.722919,6557.176275,1906.090197,6220.728715,2976.832093,5249.00638,1605.137359
Q9Y3Z3,1948.474569,171.3204353,1204.094553,5971.77815,1173.059208,392.7103857,2588.777001,380.81106,999.7176835,213.7002098
Q9Y490,475314.2384,370675.655,242272.2922,442513.8662,506656.555,177919.0937,566665.101,233966.875,610910.165,161808.2015
Q9Y4G6,1933.748079,3729.518933,1264.075965,2650.701694,4563.935105,2045.198387,9184.43364,2809.014035,9354.91152,2124.73066
Q9Y5Z4,8888.12035,5868.485977,6806.36576,10631.70173,7701.812955,2716.591425,9747.24356,3898.158843,7522.47544,3592.177507
Q9Y639,3473.627019,1539.024005,1041.319989,3589.590089,2568.309933,967.8442857,3091.845556,1656.593757,2993.331003,825.5300902
Q9Y646,2005.671897,2363.335254,2224.186488,3701.568482,2405.546515,497.601667,2108.412208,1229.92519,1990.234913,408.3613817
Q9Y696,17833.23815,4517.62711,3155.877883,18253.23185,18075.51545,5977.946573,14822.10113,7022.931478,18228.08726,5617.992568
Q9Y6C2,86281.50085,44948.24257,67499.8773,192521.7149,87712.6542,21392.99182,73237.284,31582.04763,56975.1013,24457.72303
Q9Y6N5,4780.635272,967.2888747,429.5451493,8358.991415,4226.415888,2149.409895,3121.135639,2187.435592,4187.568372,977.34634
