,FP_1,FP_2,FP_3,FP_4,FS_1,FS_2,FS_3,N_1,N_2,N_3
P22352,63958.29505,24745.03101,41236.97238,48863.33142,36444.98216,6663.254112,39751.60329,12308.72659,15608.97553,9621.032988
P22626,24829.35267,16956.53665,16679.73817,51367.32095,20053.24026,7228.963207,34746.41766,11275.19242,18242.62398,8859.459657
P22695,5909.68124,2473.410399,1361.76476,4122.884344,4459.27886,1991.295037,7147.13326,3248.098315,6369.47451,1284.698066
P23141,1404.252091,1126.027495,1875.850805,981.8539255,693.1785465,408.4273903,2588.512247,1016.259292,1162.517882,307.8194345
P23142,276828.3584,83401.5165,96214.49435,339208.7435,92144.0896,24103.61988,99486.8836,27390.75343,56141.90815,31030.32495
P23284,53936.28655,27227.219,28732.34633,109277.5829,54138.0624,13015.57927,46180.18662,21394.24042,32597.872,11347.51469
P23396,18204.7532,9818.312587,10728.03824,31964.39323,16635.38943,2628.785285,16368.63237,5895.733215,13258.84829,3807.843037
P23526,7621.53902,5272.805827,4010.05733,3124.698491,7559.677695,1940.029797,5501.15693,3144.592143,5829.59185,1049.731298
P23528,41763.26908,25396.20066,31408.15848,79257.4667,44862.17608,16564.63573,58378.58185,16599.11833,29305.36063,25069.28718
P23634,4979.623426,2745.718113,1924.964541,6400.260915,3270.011167,2272.971638,6743.036015,2174.789779,5942.75744,1366.712384
P24752,9496.07165,5730.66159,2112.282898,13572.25026,10259.20716,3356.363945,11406.55045,6452.187655,11578.73493,2917.082982
P24844,59333.9579,62510.66693,64832.11915,89049.0852,32897.21011,12065.66309,107354.2389,54287.6627,56888.98505,48631.75025
P25325,3669.829777,1917.899425,692.984306,1282.373351,2111.464051,455.7808638,1787.266374,1959.018179,1426.313308,852.9193763
P25398,7577.372445,4205.743787,4490.818623,16815.18473,4823.913249,1645.211724,6479.304505,2447.525545,4045.954979,2008.535835
P25705,76473.29725,70102.47487,58373.22615,148872.9943,88184.02575,25798.8821,82522.231,44701.78848,93701.1067,20302.20497
P25786,5654.0696,2953.731762,3094.494863,4516.56156,4041.214823,1017.880043,4214.771415,1420.971711,4288.957378,1476.860069
P25787,1465.169727,1166.506945,1293.713654,2296.855237,584.7947575,409.3108507,1947.130959,259.3899863,659.694654,518.8681158
P25788,2749.063064,1414.397483,1054.122718,10313.91712,5528.52776,1579.504362,4769.322889,2533.39719,4712.104672,1386.672666
P25789,5150.28694,2622.296711,1830.952346,7268.904075,5117.90976,1439.205954,4996.778544,2054.693229,3989.169775,1261.974053
P26006,4526.500151,3563.97678,4564.476153,6734.65264,4101.837184,2037.51719,5747.842045,2761.833938,5634.247805,2085.270718
P26038,109475.0783,71620.56667,64775.11355,154407.9024,124161.1649,36290.34158,107599.9486,46944.38998,100757.4872,31047.45063
P26373,8873.742035,5283.867753,4604.296405,12982.50616,5763.806395,2023.430907,6344.558975,2684.81823,6455.517155,1494.021187
P26447,66142.18715,33349.81447,38728.62075,53280.48955,32228.87583,15215.76359,62435.3466,10586.05362,28753.70139,23153.80878
P26641,3912.978059,2664.291555,3272.697553,10261.54727,1323.703582,867.5347277,3956.581145,2190.548705,1707.604317,641.1029918
P26885,4382.665411,2888.682249,2458.505712,7133.067905,5445.69846,1120.800717,4983.21574,2419.79757,4308.020719,1628.522778
P27105,14485.54068,8515.02899,11598.18449,26096.50528,20948.80096,4715.444955,9307.79942,4760.201093,15965.36433,3150.122225
P27338,9912.46252,4902.86089,2577.793883,3654.846009,12239.10336,2620.502843,5478.72257,4755.28972,8866.4042,1600.294924
P27348,22078.06516,13788.46436,10914.6924,36067.47586,20116.52709,7798.586523,19614.50865,7140.707695,19555.67601,5872.421202
P27797,47731.81759,26677.3604,21671.80873,114947.334,39342.51481,9731.425935,50498.22115,15941.18801,25915.10362,13769.87795
P27816,23954.59657,8158.61917,2981.367483,13791.20577,23403.68768,7867.93816,41464.92915,8890.470543,26599.87504,13456.06453
P27824,15733.48823,9398.768857,9188.782053,24638.11802,11891.36506,3974.1972,17071.38999,7394.552088,10884.79987,3918.959208
P27918,10334.07601,4791.881903,3330.576555,7900.369365,4592.886908,254.0463792,4412.040542,288.5236963,210.9958585,2465.36645
P28065,1103.725947,635.7144257,657.3793313,2412.925585,752.2357015,158.593399,638.1624445,206.0513396,440.8195266,119.6589367
P28066,2962.584278,839.029005,1053.772317,9524.684215,2948.691389,838.5474127,4724.268368,1919.551255,3881.414054,876.0721222
P28072,3132.132347,1501.116678,1872.524605,5817.44443,2172.805683,766.718407,3209.52146,1385.056829,2483.537511,887.2262583
P28074,2322.588031,751.5453683,537.055646,3716.632142,1625.707078,566.8845892,2057.969724,782.3929643,1997.087411,288.5878802
P28289,2822.095881,450.4406763,203.8081461,808.0774345,3401.085932,770.4203512,2750.573821,1005.171969,1361.446425,645.180086
P28482,5856.410545,4915.766467,4373.481195,11478.97579,5458.54582,1810.566048,7004.956055,3683.005998,6079.47619,2053.617727
P28838,4887.028361,1101.623809,2406.065777,15127.55225,2928.280368,483.7841022,2252.150062,1640.003379,1576.534645,1303.359158
P29218,3117.773374,1425.463905,1388.437112,1071.888909,1970.319486,677.0336865,530.4264035,808.1409223,365.5046077,607.4090913
P29401,41956.11904,21953.24403,17980.98285,55191.5045,33200.2993,7969.22934,31164.76909,9985.628878,22116.97208,7913.696623
P29536,46778.07747,43953.164,28088.13058,34401.49964,59743.85525,22204.05748,56679.51555,28626.1372,69107.18835,23020.70087
P29622,17349.21117,15884.60916,17757.14429,9385.414155,3463.743967,2841.711493,9107.28358,2403.381217,4433.956538,2104.049918
P29692,3151.494715,2300.421681,3606.83413,11340.66291,3204.236289,742.7214158,4416.295175,2210.890288,2218.41354,1188.817849
P30041,79129.73945,43831.43783,36677.2031,101465.6572,73226.80045,17329.93323,62320.62015,34571.9896,61719.59155,17986.33985
P30043,11588.72914,9383.030343,6038.30663,46757.29053,9455.93033,3160.836997,22040.43911,6102.281493,11180.09765,4470.713365
P30044,25554.13585,9940.038727,9549.015698,45081.26389,14013.30604,3606.800407,19512.23024,5065.904918,11736.43072,6342.86969
P30046,4446.948734,2843.647624,1388.071021,5177.185025,3227.877246,586.43483,2755.348672,1720.67361,2084.988552,646.3717975
P30048,10096.73708,6713.28427,6363.186333,20770.263,8790.038855,3063.141008,11996.2073,5552.904068,8772.154745,2636.375278
P30049,5084.14669,2981.00885,3247.437265,10225.77257,5255.06893,1612.400989,5881.797955,2425.250352,4885.22042,1607.180631
P30050,7985.252385,6016.92262,5455.3327,28565.19871,10607.53354,2911.001778,8664.2165,5100.187833,9342.54611,657.0286983
P30084,1734.592286,950.160878,1293.358023,7281.742285,3028.145994,1234.856672,2784.123182,1596.916735,3397.621046,568.3330012
P30086,88211.9348,69416.72547,48523.38818,122318.3575,72467.268,26141.10027,77769.67585,49932.97843,69464.902,28633.79193
P30101,66846.91805,31304.57252,37387.94283,142349.7953,66077.96695,15426.68975,64306.7349,25160.1403,38887.74418,20784.20443
P30153,10852.08224,5689.561593,5608.934065,24450.51024,15841.8386,4702.487537,13609.39136,6701.9908,15048.29985,4325.818255
P30626,9037.899845,5181.837233,4646.747283,7262.6106,7496.93371,2453.798788,9358.009665,3305.391195,7670.639555,2916.91763
P30740,9953.663165,4530.03805,4527.12963,5073.98878,6645.88641,1001.959352,6018.54075,2037.542103,5031.25003,1387.204152
P30837,25611.52016,9322.684397,8554.03238,15357.75465,19472.16852,13297.30495,28545.80091,23118.82766,34740.4738,7999.124268
P31150,30614.78721,16741.23382,9062.323725,21621.07864,28142.78119,8070.213763,20429.85612,6687.29536,16255.65707,6502.05589
P31930,2706.024831,1467.009077,2680.74916,8346.76341,4240.941551,1214.759177,5431.624335,2439.65575,3846.010706,1328.209118
P31939,2528.836268,2377.900122,1077.630997,4683.135253,2316.126156,1222.365525,2016.802898,1275.121402,3423.098944,1333.58304
P31946,27984.78047,13420.1832,12826.83852,47448.01738,21912.80553,7894.245645,26138.2174,8917.79246,17608.82308,7114.931027
P31948,9640.04824,5557.807773,5464.066588,11112.57827,9996.7862,3271.085483,10293.56446,5573.284323,10348.08216,3128.165915
P31949,37062.72038,21563.46857,33390.85558,73699.4666,22887.07894,8057.685805,37774.26722,9666.621813,16966.41056,9802.577065
P32119,63973.9629,51685.2695,44434.77815,298327.477,41501.77648,16490.76863,111972.5595,33052.1717,57372.92895,25107.90855
P32455,21424.65775,13292.20663,11303.84724,33972.32291,23758.89011,5936.019018,22534.3667,8845.185385,21488.98587,6349.09399
P33176,3017.911779,1553.125711,1367.559459,1708.690492,1780.30066,479.7128225,1468.05742,872.0892898,2016.941992,638.3699687
P34932,2168.514383,1280.067045,458.6598515,3517.442454,1648.628764,435.447779,1859.009891,844.6242858,2811.301855,1137.737244
P35080,6134.950115,5240.519397,4404.347905,9340.21121,8112.43095,1619.763158,7577.93808,2163.980896,9000.767635,3667.412415
P35232,3128.779555,2728.576626,2390.815468,9271.53336,4451.602108,1126.604561,4813.820033,2338.566592,4120.846677,1218.321271
P35237,9499.23101,6138.963527,6283.53537,15082.32537,10177.82545,1315.030697,6190.76978,1586.488773,4017.396769,649.9103185
P35527,8964.33187,8309.1243,2077.200911,30246.96844,6627.158215,1010.036878,7206.865335,2777.45751,4214.691311,1681.13997
P35555,1012285.017,345262.007,499977.4163,747209,418816.3318,101551.6787,585244.2845,137466.754,285316.3922,90744.5197
P35573,1101.869017,811.1268737,588.8000083,850.731882,1006.821573,173.0858295,640.0946795,380.4591428,782.586962,243.2780405
P35579,889779.1865,562089.672,445233.199,1031074.645,900220.129,266265.1263,548085.9175,319045.7385,680833.618,138186.5663
P35580,1076761.769,741958.367,601435.3813,1038392.306,963552.198,330070.5945,933603.978,427327.9288,938446.338,309443.422
P35606,1160.368774,709.546028,381.4878473,3440.592661,946.92753,425.6376883,1507.802938,532.0271383,707.2757235,332.744984
P35749,1560337.414,1259080.865,862929.0253,1782752.491,1565206.857,707995.2898,1918300.711,1030614.416,2156586.487,591721.9633
P36542,7631.210535,4916.03627,4694.799355,13754.59354,4397.349144,1987.798007,7464.651505,2653.261708,4383.538048,1516.709768
P36871,46101.20052,26726.91423,18180.03181,76939.2902,50468.8737,16410.15287,35608.95626,24563.04137,46971.26332,16581.44309
P36955,73373.25495,57713.11917,51586.5247,77513.36045,44524.48044,10186.22395,72436.0567,14145.79195,25623.59643,19847.6066
P36980,5598.92908,3780.475737,2483.776458,7044.62424,3272.286597,696.9937548,2729.676885,177.4435718,458.5175204,1269.781004
P37802,462273.1705,350084.7367,299945.2383,318262,520227.7125,103177.123,344314.5405,135254.1234,225296.3086,104375.03
P37837,12097.19281,6670.070817,5150.83381,30684.16157,12497.99581,2399.245113,7427.49314,4295.863858,8550.01898,1769.071508
P38117,5501.49826,1881.664876,2019.311448,10544.82545,4033.64664,1381.977357,4689.850431,4479.576195,5025.913765,1132.118838
P38606,1186.817138,712.122647,1473.323179,13519.24628,1524.40291,812.611717,1627.401788,1123.023597,2763.617741,175.4307987
P38646,11729.22398,5981.57842,4695.505388,20935.25734,9216.851765,2165.32445,8133.68791,6277.524615,9495.82568,2258.700763
P39019,7774.542355,5176.081437,3789.241638,19125.22515,7612.740925,1962.7789,6967.147415,3088.26607,7372.876055,2035.925122
P39023,2055.228729,1205.322609,1501.904434,5010.623295,1874.769489,509.3811382,2030.226358,653.6241705,1857.615885,362.0913227
P39059,21901.39886,13836.93897,23549.75149,45389.59632,15652.20429,3369.664932,29184.22811,9742.632043,14049.02011,4198.899208
P39060,152849.2346,99278.5262,68578.80008,94530.2714,92723.12565,59716.39648,196756.8061,69291.3203,172234.7125,59034.71842
P39656,6553.223705,4172.994193,4103.01309,7202.726865,3702.116828,1449.488451,3098.037069,3089.232875,5170.103285,1716.253532
P40123,7677.053505,5069.644137,829.447379,5547.985575,7434.23496,2085.518535,7934.426165,3129.451973,5382.41297,2356.825037
P40227,2530.899524,2468.553944,1643.979161,5344.404815,2399.783296,594.0743077,3153.133638,1375.814171,2118.242674,821.10812
P40925,38789.14991,25403.30547,18055.50853,64162.8176,36654.06847,10258.72905,34248.2633,19081.29417,28817.88376,10453.41217
P40926,20253.50202,11749.24799,11094.96612,48132.16361,12988.81935,4584.091583,22259.81282,15170.5862,16033.22688,7474.180667
P40939,14612.81779,15295.17945,10393.58787,42562.19872,19522.15562,6951.38488,22820.30034,9436.8122,19998.84349,4491.335053
P43121,32618.59573,22055.13965,13532.08688,27162.08875,53181.29575,20786.34907,33409.83119,17155.90148,50178.5417,10523.72197
P43652,26446.17172,9571.62267,18255.81267,21669.89495,7141.233665,869.5752757,10433.41926,3052.571618,5584.34454,1749.371065
P45880,11057.56965,8069.764033,6145.152933,25259.56879,16548.44354,5076.669797,18835.20479,9226.667408,18508.03868,4825.108758
P45974,7321.20631,4115.062983,3320.592728,11235.85142,7440.52293,2003.982508,7108.953035,3636.696025,7690.475735,2098.238995
P46108,4895.029926,4001.66027,6566.785285,34276.34802,2365.335174,2650.196927,15916.13636,4695.154433,3623.352352,3119.390477
P46109,1546.030023,1304.475227,724.5570485,1746.654745,1623.30046,451.1647837,2110.219033,319.5523445,1222.482763,515.518568
P46777,8280.55591,4440.126187,4327.1759,12166.26875,4805.094577,1615.272235,6732.956805,2293.010727,5155.38256,1631.522726
P46781,10690.69693,4102.499157,4843.876883,23268.86839,7625.3621,2195.227128,7128.786315,3431.056545,5575.80652,1239.899635
P46782,4278.709543,1058.864524,1305.998626,11888.05168,3904.612073,1306.232905,5457.402955,999.7965313,1745.473387,1262.399243
P46783,1239.546227,1447.290971,2254.001993,7629.65421,4148.160069,1185.125218,1181.487446,1646.604725,3135.356576,834.6480413
P46821,39508.25913,18738.58575,6905.314955,11351.61068,36288.59719,12783.67093,55780.28305,18171.53041,39295.50831,18798.21545
P46926,3581.877039,2430.048553,1048.68365,6431.967585,3615.582603,939.874177,3641.37136,1573.636064,2324.112039,963.2678453
P46940,67732.18385,37930.66543,32219.36405,114582.0493,71909.9458,18470.21057,64051.2711,24693.75344,51225.9214,14670.5709
P46952,3258.635735,6827.72573,960.9891418,14890.76922,6190.619305,2983.580498,9133.48023,5604.705493,9214.438985,2644.678283
P46976,13657.98156,8699.844073,8194.635518,9040.948085,15723.63381,3899.716587,12770.07674,5230.841898,10978.53409,5877.617962
P47755,8332.911035,4665.11944,2910.863568,13067.21682,6997.92224,2167.45948,6947.49993,3165.320448,6397.00227,2051.893347
P47756,26152.02878,20286.98541,16878.78714,40940.73149,26815.34102,7975.511725,25857.43949,13201.66793,24625.60475,7093.128258
P48047,9038.093275,8645.568693,6999.818758,14440.53448,8773.57252,2082.806802,10558.45717,4295.65116,8224.102085,2693.492393
P48059,11535.08448,9503.54237,10559.11335,25549.71475,6104.759115,2656.074392,24088.51542,8918.546568,19037.87444,9381.013552
P48444,2054.293816,558.397867,402.7054415,5335.28765,2280.587818,665.3928697,2355.62218,1186.79794,1989.822733,593.86917
P48509,12961.11682,5247.93898,4043.910298,9244.55278,5692.82924,2953.506035,3097.790895,1885.088514,6285.63997,3133.386295
P48643,6580.239465,5220.778807,3029.079613,11097.22746,8026.2541,2062.438133,6879.778805,3081.227728,5302.40582,2012.846783
P48735,8665.482125,3956.634637,1517.876466,19492.54395,5190.65117,854.0938603,5577.285135,2759.474933,3741.235933,803.6470073
P48745,12898.38094,8726.554573,6187.044215,5648.9803,7407.590255,3828.733003,4322.247348,4851.390165,10072.62056,2549.057905
P48960,1802.215504,1581.621409,1376.497312,3351.802015,1905.856487,359.172023,1020.981879,635.2278,1767.168058,746.2984012
P49189,15200.45891,7390.804677,3689.434743,35065.30573,11715.75428,4964.752552,15954.82751,6569.151758,17675.72878,4110.849563
P49257,1127.201933,294.885732,650.8890593,3555.406707,1226.719565,287.1405577,965.8899545,462.3591508,1065.618698,267.740606
P49368,9253.44563,5601.336,4298.762003,19957.49537,12045.98578,4040.456725,11479.93823,5658.479203,6441.090845,2380.482105
P49411,7180.904895,3802.90536,3303.21909,14546.54244,6787.52406,2018.890902,5543.471025,3680.705,6774.3681,995.1913043
P49591,1749.11245,979.87069,1259.860687,3910.174453,2091.419451,518.1384385,1829.464345,844.6242858,1474.715058,587.138185
P49721,1341.832147,1243.373831,1690.10141,849.798629,2107.383656,508.4314182,1253.741891,789.831564,1732.98285,292.6271798
P49908,11162.66676,4449.8346,5004.02605,6708.66513,3945.185311,1986.067897,4858.456522,1003.628948,2916.072948,2427.51278
P50395,22200.8289,10050.56804,6758.66932,40950.42297,24075.50522,6631.44954,22881.42585,9854.491413,16542.38002,5524.143812
P50402,2769.747206,816.7342803,524.6033188,2090.450786,1578.529211,469.3284825,2167.633356,604.86238,913.660314,396.0923043
P50454,18854.61439,7415.221853,8425.116015,31828.59295,16692.38829,2530.81935,12762.59862,4952.05393,7349.32289,3051.844412
P50479,25958.59852,14514.36944,13232.67666,3857.481553,26255.98313,9743.438542,27153.89492,10117.05639,27605.41109,7625.146538
P50552,3055.372773,1577.686781,1247.936577,1991.968666,4684.582697,1997.025258,6895.942695,3154.008828,5970.91083,2197.083728
P50895,70429.8912,31379.48783,17164.49509,32169.23029,69328.2592,16959.0026,46461.42901,22239.42159,42814.86609,15310.481
P50914,1929.286288,508.6641727,1398.426169,4378.535837,1793.74063,390.0649128,2450.975196,869.1811395,1360.923839,381.4374418
P50990,12553.30136,6612.60277,3339.524868,19832.942,11476.9019,3478.931795,10432.62965,5827.554108,13971.44188,2937.267668
P50991,8331.94388,7241.019023,3786.61624,18625.81516,11028.10372,3309.920927,8330.023435,5509.378495,10845.38512,2463.748368
P50995,31896.64953,18137.73437,14313.1161,42800.89612,28405.24738,9222.626408,27413.49257,12537.08599,26143.79012,10019.38825
P51149,2869.047853,1436.836103,1120.427046,5728.354665,3525.316309,1012.006259,2963.988259,1528.526864,3797.211497,669.2942325
P51452,6108.134235,4614.486403,4307.344223,3024.313971,2916.518698,1823.732062,5693.03345,2509.923158,2831.45085,1610.015227
P51572,8711.84091,2526.332266,3158.86414,16812.43283,6439.559575,2217.399528,7685.418655,2616.34908,5230.384665,1133.429838
P51884,1076761.769,476652.0417,611895.127,833247.746,373941.9417,86293.9507,496993.1624,214630.7696,214563.4266,84024.16447
P51888,1328221.104,575579.824,596205.5083,645010.6195,660463.009,138654.1902,599178.6725,303576.8543,408500.1707,125194.6669
P51911,980046.64,840886.1493,397179.558,278945.7269,1289259.984,334978.7073,919669.59,435062.3708,1067252.698,446448.9065
P51991,6790.562635,4278.365773,3304.44288,8869.38508,6013.560935,1722.993043,7945.805915,2308.595628,5161.71247,2497.633605
P52209,10821.71369,6289.963297,4259.292153,34155.26443,9035.72205,1440.396171,8679.823015,3887.64,5147.06535,1199.742855
P52272,3107.1605,1081.154752,1683.799413,3391.656703,1274.729798,471.567809,2857.278718,795.0716485,1315.495676,774.6845203
P52565,13955.28387,17484.0016,14934.2158,26181.45523,20798.07063,4270.266842,14088.87364,10000.61436,18040.6188,3549.528645
P52566,6741.5603,2561.33921,5223.785308,11563.38732,3905.571101,1389.339527,4158.253539,694.2454608,3000.912178,1215.69927
P52943,59423.58055,41255.98793,38779.8735,36768.01383,53107.55915,12881.71049,56988.85895,15531.32058,37862.07753,14473.56647
P53004,3522.087746,1679.26313,2276.108666,12955.58541,2753.045055,907.1198855,3195.192265,974.2767395,1671.490694,789.5708748
P53396,2054.293816,505.0218317,1008.523456,1575.067809,2013.638622,172.9164995,1656.947335,237.6948761,430.1801212,163.3530565
P53618,889.089285,623.2765053,650.193486,1908.179299,624.047069,212.5642358,1085.233341,470.018182,625.8222615,175.3906418
P53621,2083.559814,1509.00392,636.5121385,3729.195163,1723.885357,636.5380738,2147.372756,1147.760277,1785.789778,406.8236133
P53708,18126.86528,7521.973923,4037.775655,10487.39449,14550.40723,4253.971907,11346.40035,6739.618863,12078.94523,6244.284795
P53814,44909.34774,28390.29495,14678.10893,16983.05061,56685.3687,21845.76523,63429.33295,27787.33695,74190.62335,21019.2397
P54289,5090.484755,2128.799966,2310.301575,3944.393729,5208.248435,965.3669157,3400.083502,1507.005779,3524.719802,1236.35639
P54652,26124.62616,18197.18097,10277.48469,12746.68031,28302.51372,6736.716292,17001.34647,9377.295668,19098.48704,4948.886128
P54727,3456.495546,5675.62177,2770.540848,12521.38347,5181.015645,2631.63199,10904.63381,3784.57856,8493.12337,2655.910372
P55001,27412.03348,11893.27785,16805.15053,40155.60251,15412.62811,5347.106818,20811.98348,5622.320685,16253.08094,5197.055028
P55072,36975.16095,26463.13679,21045.68835,67875.13045,32999.94378,9590.109093,37745.23725,16802.76619,28398.04863,10599.14585
P55083,111456.4489,33949.18193,96192.0059,159945.2034,32615.02051,35847.5071,119586.309,87179.15138,50143.21195,41181.01405
P55084,19219.61729,13958.39531,12274.66855,44549.78828,18145.13548,6516.587427,20091.2505,8925.33354,19831.83685,4606.407848
P55268,236039.0751,123284.2519,99181.92423,229090.874,230001.2668,56172.61625,167553.1163,84872.9341,164807.0018,51973.85732
P55290,39147.96304,22308.4847,20765.00108,42498.30679,31437.85829,6721.513412,24849.10075,7308.661108,18209.87036,9890.803873
P55786,3875.342979,1591.48271,3394.061983,5193.16997,4258.593103,1248.538037,3225.778246,2051.096713,3461.670929,724.4519318
P55809,3278.004552,1792.072279,1042.198608,2067.239109,2050.009325,1115.674193,3323.458304,1839.408899,4110.726177,1286.009067
P56134,3761.128859,2438.389964,2513.597193,5152.417925,3358.716777,1033.868221,3238.035863,1887.025992,3758.643192,896.6489285
P56199,41442.75514,23987.42407,18762.53505,22887.67044,37897.72936,7058.418553,23965.79991,13413.55298,23198.46708,7208.519947
P56537,2049.451612,884.355916,1149.88692,4814.879465,2121.190047,683.9933907,2205.957567,1174.339687,2186.502684,729.567197
P59998,28439.40605,20142.55084,22738.23211,58071.30785,28659.61611,8013.525058,22108.57826,10913.76194,23544.91939,6528.760148
P60033,7710.581415,4377.35651,4403.819688,12811.88838,6455.664015,2115.629807,6220.86806,1624.731723,5615.221265,1828.373623
P60174,111800.7548,50725.22037,45793.23763,163753.5935,61020.9012,17233.85692,82858.04975,43624.57405,47097.12554,24324.2608
P60660,202699.4359,177105.9119,144175.0436,294432.9405,235990.2187,99361.43325,258926.9349,174247.8936,302497.6886,68479.00252
P60842,2365.445729,2207.483527,2496.579187,8038.39509,4170.837474,964.7190447,2876.252709,2099.997724,3679.114465,839.9180282
P60900,2233.906706,1931.551458,754.5451395,5699.79473,1877.777762,392.9165263,2058.606061,1107.883427,1513.187678,563.5992255
P60953,10843.11997,3196.455573,4428.556988,21906.79763,9688.22331,2471.406643,10436.62417,1030.562209,9251.056795,1896.108662
P60981,97859.5913,55584.37313,35383.17565,101965.7851,109339.6512,40853.41418,107976.1771,43286.77228,75861.79385,40312.0922
P61026,2800.302739,1590.727262,1974.245633,2965.028477,703.501674,365.081391,2001.187094,677.125273,1051.501521,620.4872097
P61088,5816.918535,5254.45922,4354.35555,7350.767115,6750.65575,1661.506659,4637.96806,2670.354823,4968.208518,1272.591978
P61158,35429.33081,24245.62558,24635.99608,63703.60925,35532.36704,12548.81773,36101.81556,15108.36261,28998.69108,10005.54597
P61160,28214.31771,15117.46918,15043.10176,42559.08788,25992.15983,8071.440792,24593.12604,11076.66863,21706.04299,6947.961498
P61247,8715.064745,3387.33673,4338.74961,13378.42079,6272.72481,2167.766237,6175.30261,2042.511482,4120.552263,1034.311095
P61353,1765.328354,2209.758866,1583.642117,2617.140481,1147.500194,292.5738387,2028.805051,535.9001603,1422.427036,421.6721732
P61457,4251.680889,809.7643683,1316.170729,5493.414205,7439.165815,1704.99254,7862.19959,3744.51415,5107.79781,2021.1616
P61586,4188.899874,528.674565,1362.120392,4200.96651,1482.508746,860.3725638,2225.567895,690.1539408,1246.635796,823.4561107
P61604,11587.82646,10644.3146,10634.8942,23094.06293,19838.77073,4702.14397,19147.9389,8038.67643,13482.01451,4845.91942
P61769,5164.43959,1208.506285,1069.561303,7824.14174,3094.278245,520.1421757,2938.047074,275.8044063,1104.602863,552.9446868
P61970,4736.114074,2994.957667,2636.886218,8728.798895,3565.532173,1828.959202,6508.102235,3084.78557,3699.907492,1719.029073
P61978,23971.94082,15232.54017,11652.05218,47964.65666,22083.80212,6876.707943,32758.25922,8961.066663,19796.21269,9128.238433
P61981,35924.89913,13243.73201,12504.78295,39781.34413,27622.91538,8451.488247,25385.06375,8699.777873,23349.98016,8208.31747
P62140,5467.5577,4658.5992,3153.42507,4793.869308,2841.379721,1645.223994,4771.877526,2735.749533,6173.10001,1242.120069
P62158,19862.1926,42499.82493,31167.32283,2611.18202,41216.46551,7981.315568,14968.3193,32135.2536,52881.63515,838.801906
P62244,9520.31491,4474.71044,5080.14162,13969.72031,7694.258345,1829.204607,7398.32382,2927.679713,7328.161845,1513.946036
P62249,6736.917975,4045.94844,3424.933923,12906.2905,4964.600918,1513.171216,4085.989804,1744.571103,4518.379906,825.571428
P62258,44530.22444,22162.16152,16750.55065,85786.4088,27653.63143,11182.81628,42716.19072,13447.62319,25913.55795,11615.30136
P62263,7245.961935,3753.78322,3946.566673,3052.538892,5366.21671,1651.027838,5116.1498,2343.497298,4678.835829,1629.680238
P62269,11399.03853,6655.951123,7226.115358,13434.17668,9831.263315,3004.759005,9410.49586,3593.653855,8302.60036,2437.977165
P62277,3986.75236,2993.74805,2158.237791,8642.257625,3752.891053,1420.665557,4316.436708,2120.803373,3556.840428,1110.118828
P62310,2325.012357,1350.86786,1073.588305,4541.328658,2485.847055,629.7170238,2530.461588,1085.265984,1904.990864,626.9087512
P62316,1167.067909,998.6714653,178.5478601,5458.273645,1481.183296,462.9086708,2537.164029,728.0430393,1428.672304,419.9383452
P62330,1899.478685,1400.745449,1778.674537,2087.004928,2971.848308,728.7001643,1950.744611,1077.697833,1734.315076,208.7384853
P62424,4657.458884,2039.648047,1440.165785,8752.35755,2997.063519,675.4078742,3648.719427,1155.154404,2503.395771,867.6108523
P62495,1809.301499,552.4756903,666.8506313,4036.929351,1961.792276,271.7977967,1808.558118,1103.704895,1950.735523,516.0205277
P62753,5849.511535,2863.36573,1161.988846,12206.47042,5533.6848,1501.759853,3743.171352,1582.569345,3441.006708,875.2654432
P62805,463847.6928,283320.6246,245522.6582,692916.4095,216186.733,82210.15533,428223.7076,206896.3274,347866.2328,80396.70805
P62826,11103.21919,5030.522697,4998.764798,25910.81186,6966.39192,2436.95169,7713.14809,2893.822193,5960.79033,1811.838478
P62829,6178.54285,2504.491709,2293.116212,16514.39011,5549.879715,1620.241699,7251.269585,2407.480471,4703.603452,1406.550272
P62873,12724.48713,6161.402147,6246.87396,21548.21312,8712.81897,2661.473317,10906.02725,2744.586133,8578.282775,3060.584417
P62879,4089.779763,4415.27283,2461.669785,3598.049189,8374.08287,2524.905075,8336.24746,2330.851486,5377.223915,491.2119053
P62888,2313.277588,1056.135017,1388.076251,4022.798944,1417.570756,338.263462,976.8563175,276.0673773,823.311853,328.9726088
P62899,6290.519625,5545.082063,3422.475883,7370.544895,6425.49081,2268.038983,1893.841216,736.8042288,5228.94939,1989.036175
P62906,1152.915262,446.5015517,376.0435498,4275.016545,1097.205483,392.982786,1494.760351,608.2055928,547.6478415,313.0894213
P62913,1969.339247,3930.71556,3688.038368,4766.888725,1969.351411,530.4246723,1735.01242,2483.007299,4367.345249,1169.970146
P62917,6167.36258,4090.978567,2795.790675,12535.86086,5426.97026,1479.121182,5502.689715,2114.596483,5086.599965,1225.041626
P62937,18911.61184,8709.556983,992.73447,13877.47184,14987.80564,3125.289988,10713.77914,8802.375248,10651.36594,2874.386877
P62942,18660.66832,14749.18802,8251.118143,20085.1596,19947.02333,4985.685653,16847.32504,7966.72678,13689.02473,4894.107555
P62993,3056.29479,1216.537422,1055.001337,2400.996698,1898.88996,587.1489603,1197.744232,1083.813843,1804.415178,809.6870595
